Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2006,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2006,Alabama,216
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2006,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2006,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2006,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2006,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2006,Alabama,30
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2006,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2006,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2006,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2006,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2006,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2006,Alabama,33
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2007,Alabama,13
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2007,Alabama,13
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2007,Alabama,113
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2007,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2007,Alabama,285
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2007,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2007,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2007,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2007,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2007,Alabama,38
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2007,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2007,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2007,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2007,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2007,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2007,Alabama,30
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2008,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2008,Alabama,16
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2008,Alabama,126
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2008,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2008,Alabama,335
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2008,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2008,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2008,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2008,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2008,Alabama,36
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2008,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2008,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2008,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2008,Alabama,17
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2008,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2008,Alabama,53
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2009,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2009,Alabama,11
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2009,Alabama,140
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2009,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2009,Alabama,382
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2009,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2009,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2009,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2009,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2009,Alabama,39
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2009,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2009,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2009,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2009,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2009,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2009,Alabama,27
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2010,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2010,Alabama,11
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2010,Alabama,116
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2010,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2010,Alabama,332
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2010,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2010,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2010,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2010,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2010,Alabama,45
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2010,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2010,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2010,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2010,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2010,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2010,Alabama,21
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2011,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2011,Alabama,
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2011,Alabama,115
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2011,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2011,Alabama,360
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2011,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2011,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2011,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2011,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2011,Alabama,29
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2011,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2011,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2011,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2011,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2011,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2011,Alabama,22
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2012,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2012,Alabama,16
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2012,Alabama,112
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2012,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2012,Alabama,349
X60,"Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2012,Alabama,
X61,"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2012,Alabama,
X62,"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2012,Alabama,
X63,Intentional self-poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2012,Alabama,
X64,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2012,Alabama,43
X85,"Assault by drugs, medicaments and biological substances", South,12/31/2012,Alabama,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2012,Alabama,
Y11,"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent", South,12/31/2012,Alabama,
Y12,"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent", South,12/31/2012,Alabama,
Y13,"Poisoning by and exposure to other drugs acting on the autonomic nervous system, undetermined intent", South,12/31/2012,Alabama,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/2012,Alabama,19
X40,"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics", South,12/31/2013,Alabama,
X41,"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified", South,12/31/2013,Alabama,18
X42,"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified", South,12/31/2013,Alabama,116
X43,Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, South,12/31/2013,Alabama,
X44,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances", South,12/31/2013,Alabama,380
